component_id,nodes_count,component_labels
174421,13,"[
  [protein],
  [peptide]
]"
182518,13,"[
  [rna],
  [small_molecule]
]"
182529,13,"[
  [rna],
  [small_molecule]
]"
182845,13,"[
  [rna],
  [small_molecule]
]"
182856,13,"[
  [rna],
  [small_molecule]
]"
186197,13,"[
  [protein],
  [dna]
]"
198640,13,"[
  [rna],
  [small_molecule]
]"
202714,13,"[
  [protein],
  [small_molecule]
]"
203177,13,"[
  [protein],
  [small_molecule]
]"
164002,12,"[
  [protein]
]"
164547,12,"[
  [protein]
]"
164748,12,"[
  [protein]
]"
166974,12,"[
  [protein]
]"
167244,12,"[
  [protein]
]"
167801,12,"[
  [protein]
]"
167811,12,"[
  [protein]
]"
167840,12,"[
  [protein]
]"
167863,12,"[
  [protein]
]"
168559,12,"[
  [protein]
]"
168762,12,"[
  [protein]
]"
174288,12,"[
  [protein],
  [peptide]
]"
174385,12,"[
  [protein],
  [peptide]
]"
175428,12,"[
  [protein],
  [small_molecule]
]"
182908,12,"[
  [dna],
  [small_molecule]
]"
184356,12,"[
  [peptide],
  [dna]
]"
184778,12,"[
  [protein],
  [dna]
]"
188609,12,"[
  [protein],
  [dna]
]"
200093,12,"[
  [protein],
  [small_molecule]
]"
164032,11,"[
  [protein]
]"
164083,11,"[
  [protein],
  [peptide]
]"
164162,11,"[
  [protein]
]"
164557,11,"[
  [protein],
  [peptide]
]"
165750,11,"[
  [protein]
]"
165833,11,"[
  [protein]
]"
166202,11,"[
  [protein]
]"
166247,11,"[
  [protein]
]"
167804,11,"[
  [protein]
]"
167818,11,"[
  [protein]
]"
167839,11,"[
  [protein]
]"
167911,11,"[
  [protein]
]"
167946,11,"[
  [protein]
]"
167968,11,"[
  [protein]
]"
168009,11,"[
  [protein]
]"
168219,11,"[
  [protein]
]"
168388,11,"[
  [protein]
]"
168435,11,"[
  [protein]
]"
168604,11,"[
  [protein]
]"
168619,11,"[
  [protein],
  [peptide]
]"
168733,11,"[
  [protein]
]"
168743,11,"[
  [protein]
]"
168779,11,"[
  [protein]
]"
